날짜 시가 고가 저가 종가 거래량 거래대금 상장주식수 시가총액 외국인현보유수량 기관순매수
20170529 9980 9990 9965 9985 676014 6748000000 2000000 19970000000 0 -55493
20170530 9995 10000 9990 9995 30045 300000000 2000000 19990000000 0 -2759
20170531 10005 10005 9995 9995 566952 5669000000 2000000 19990000000 0 2213
20170601 10005 10005 10005 10005 35641 357000000 2000000 20010000000 0 -32983
20170602 10005 10005 9995 10000 15268 153000000 2000000 20000000000 0 -8068
20170605 10005 10010 10005 10005 9906 99000000 2000000 20010000000 0 -9906
20170607 10005 10010 10005 10010 15354 154000000 2000000 20020000000 0 -11753
20170608 10010 10010 10010 10010 21410 214000000 2000000 20020000000 0 -9410
20170609 10020 10020 10010 10015 12210 122000000 2000000 20030000000 0 -12210
20170612 10015 10020 10015 10020 2421 24000000 2000000 20040000000 0 -2421
20170613 10020 10020 10020 10020 7048 71000000 2000000 20040000000 0 -6896
20170614 10020 10025 10020 10025 24193 243000000 2000000 20050000000 0 -17793
20170615 10025 10035 10025 10025 24500 246000000 2000000 20050000000 0 -24100
20170616 10030 10035 10030 10035 7529 76000000 2000000 20070000000 0 -7529
20170619 10030 10035 10030 10030 11066 111000000 2000000 20060000000 0 -6653
20170620 10035 10035 10030 10030 57326 575000000 2000000 20060000000 0 284
20170621 10035 10040 10035 10035 46700 469000000 2000000 20070000000 0 -775
20170622 10040 10040 10040 10040 5001 50000000 2000000 20080000000 0 -2899
20170623 10040 10040 10035 10035 88752 891000000 2000000 20070000000 0 -18280
20170626 10040 10040 10035 10035 4782 48000000 2000000 20070000000 0 -4782
20170627 10040 10040 10035 10035 12335 124000000 2000000 20070000000 0 -12335
20170628 10035 10035 10035 10035 0 0 2000000 20070000000 0 0
20170629 10035 10035 10035 10035 1100 11000000 2000000 20070000000 0 1100
20170630 10040 10040 10040 10040 11000 110000000 2000000 20080000000 0 -9000
20170703 10040 10045 10040 10045 10079 101000000 2000000 20090000000 0 -9981
20170704 10045 10045 10040 10040 22325 224000000 2000000 20080000000 0 11685
20170705 10045 10050 10045 10045 11468 115000000 2000000 20090000000 0 -11460
20170706 10045 10045 10045 10045 5000 50000000 2000000 20090000000 0 -5000
20170707 10045 10055 10045 10055 250 3000000 2000000 20110000000 0 150
20170710 10050 10055 10050 10050 5623 57000000 2000000 20100000000 0 -3323
20170711 10055 10055 10050 10055 2566 26000000 2000000 20110000000 0 -2454
20170712 10050 10055 10050 10050 34848 350000000 2000000 20100000000 0 -34207
20170713 10055 10055 10050 10050 20292 204000000 2000000 20100000000 0 -19721
20170714 10055 10060 10055 10060 3960 40000000 2000000 20120000000 0 -490
20170717 10060 10060 10060 10060 200 2000000 2000000 20120000000 0 0
20170718 10055 10055 10055 10055 253 3000000 2000000 20110000000 0 253
20170719 10060 10060 10060 10060 0 0 2000000 20120000000 0 0
20170720 10060 10060 10060 10060 3503 35000000 2000000 20120000000 0 3503
20170721 10065 10065 10065 10065 5800 58000000 2000000 20130000000 0 -5500
20170724 10065 10065 10060 10060 1641 17000000 2000000 20120000000 0 -1641
20170725 10070 10070 10070 10070 200 2000000 2000000 20140000000 0 -200
20170726 10065 10065 10065 10065 397 4000000 2000000 20130000000 0 -397
20170727 10065 10065 10065 10065 0 0 2000000 20130000000 0 0
20170728 10060 10060 10060 10060 12250 123000000 2000000 20120000000 0 12250
20170731 10060 10065 10060 10060 2500 25000000 2000000 20120000000 0 2300
20170801 10065 10065 10065 10065 0 0 2000000 20130000000 0 0
20170802 10070 10070 10070 10070 1 0 2000000 20140000000 0 1
20170803 10065 10065 10050 10065 4068 41000000 2000000 20130000000 0 732
20170804 10065 10065 10065 10065 1 0 2000000 20130000000 0 1
20170807 10070 10070 10070 10070 0 0 2000000 20140000000 0 0
20170808 10070 10070 10070 10070 0 0 2000000 20140000000 0 0
20170809 10070 10075 10070 10075 21202 214000000 2000000 20150000000 0 21002
20170810 10070 10070 10070 10070 1710 17000000 2000000 20140000000 0 1710
20170811 10030 10040 10025 10035 12236 123000000 2000000 20070000000 0 -6484
20170814 10075 10075 10075 10075 60 1000000 2000000 20150000000 0 60
20170816 10110 10110 10105 10105 25491 258000000 2000000 20210000000 0 -9511
20170817 10120 10120 10120 10120 12881 130000000 2000000 20240000000 0 -7879
20170818 10110 10115 10110 10110 5679 57000000 2000000 20220000000 0 5321
20170821 10125 10125 10110 10110 2009 20000000 2000000 20220000000 0 1969
20170822 10130 10130 10130 10130 1175 12000000 2000000 20260000000 0 -855
20170823 10135 10135 10135 10135 98 1000000 2000000 20270000000 0 -98
20170824 10135 10140 10135 10135 7629 77000000 2000000 20270000000 0 6689
20170825 10135 10135 10135 10135 5050 51000000 2000000 20270000000 0 -4950
20170828 10135 10135 10135 10135 0 0 2000000 20270000000 0 0
20170829 10125 10125 10115 10115 134 1000000 2000000 20230000000 0 66
20170830 10130 10130 10130 10130 0 0 2000000 20260000000 0 0
20170831 10140 10140 10140 10140 10 0 2000000 20280000000 0 10
20170901 10140 10140 10140 10140 0 0 2000000 20280000000 0 0
20170904 10120 10130 10120 10125 1370 14000000 2000000 20250000000 0 -710
20170905 10125 10125 10125 10125 27780 281000000 2000000 20250000000 0 27780
20170906 10130 10130 10130 10130 6 0 2000000 20260000000 0 -6
20170907 10140 10140 10140 10140 1643 17000000 2000000 20280000000 0 1609
20170908 10145 10145 10140 10140 10985 111000000 2000000 20280000000 0 10895
20170911 10155 10155 10150 10155 225 2000000 2000000 20310000000 0 -205
20170912 10155 10155 10155 10155 208 2000000 2000000 20310000000 0 -208
20170913 10155 10155 10150 10155 2507 25000000 2000000 20310000000 0 -2147
20170914 10150 10155 10150 10150 51357 521000000 2000000 20300000000 0 51159
20170915 10150 10155 10150 10155 189 2000000 2000000 20310000000 0 187
20170918 10160 10160 10155 10160 6378 65000000 2000000 20320000000 0 4358
20170919 10155 10160 10155 10160 7014 71000000 2000000 20320000000 0 6986
20170920 10160 10160 10155 10155 1050 11000000 2000000 20310000000 0 950
20170921 10160 10165 10160 10165 1496 15000000 2000000 20330000000 0 -1474
20170922 10160 10165 10160 10165 10879 111000000 2000000 20330000000 0 10739
20170925 10170 10170 10165 10165 3093 31000000 2000000 20330000000 0 2873
20170926 10170 10170 10165 10165 10059 102000000 2000000 20330000000 0 8091
20170927 10170 10170 10170 10170 21 0 2000000 20340000000 0 -1
20170928 10165 10170 10165 10170 1261 13000000 2000000 20340000000 0 -261
20170929 10170 10170 10155 10155 802 8000000 2000000 20310000000 0 -316
20171010 10170 10175 10170 10170 2862 29000000 2000000 20340000000 0 -1028
20171011 10170 10170 10165 10165 486 5000000 2000000 20330000000 0 0
20171012 10160 10165 10160 10160 91045 925000000 2000000 20320000000 0 80
20171013 10155 10165 10155 10165 87409 888000000 2000000 20330000000 0 1289
20171016 10165 10165 10165 10165 190693 1938000000 2000000 20330000000 0 0
20171017 10165 10165 10165 10165 193838 1970000000 2000000 20330000000 0 -35
20171018 10165 10180 10165 10180 19973 203000000 2000000 20360000000 0 270
20171019 10170 10180 10165 10180 258715 2631000000 2000000 20360000000 0 -7893
20171020 10170 10180 10170 10180 129938 1322000000 2000000 20360000000 0 -47
20171023 10175 10180 10175 10180 27769 283000000 2000000 20360000000 0 399
20171024 10175 10185 10175 10185 86009 875000000 2000000 20370000000 0 -30
20171025 10175 10180 10170 10180 130908 1332000000 7000000 71260000000 0 1065
20171026 10180 10180 10175 10180 83446 849000000 7000000 71260000000 0 0
20171027 10180 10180 10175 10180 202098 2057000000 7000000 71260000000 0 10035
20171030 10175 10180 10175 10180 239810 2441000000 7000000 71260000000 0 3155
20171031 10185 10185 10180 10185 269916 2748000000 7000000 71295000000 0 762
20171101 10170 10170 10160 10160 371871 3778000000 7000000 71120000000 0 0
20171102 10165 10170 10165 10170 430190 4374000000 7000000 71190000000 0 0
20171103 10165 10175 10165 10170 334555 3403000000 7000000 71190000000 0 6248
20171106 10170 10175 10165 10170 335489 3413000000 7000000 71190000000 0 0
20171107 10175 10190 10175 10190 314527 3201000000 7000000 71330000000 0 196
20171108 10185 10185 10175 10185 485883 4948000000 7000000 71295000000 0 -1
20171109 10185 10190 10180 10190 357053 3637000000 7000000 71330000000 0 1528
20171110 10190 10195 10185 10195 559686 5706000000 7000000 71365000000 0 8880
20171113 10195 10200 10190 10200 383210 3907000000 7000000 71400000000 0 -1097
20171114 10190 10195 10185 10195 386716 3942000000 7000000 71365000000 0 -1792
20171115 10195 10195 10190 10190 662409 6750000000 13900000 141641000000 0 2273
20171116 10190 10205 10190 10205 637412 6500000000 13900000 141849000000 0 1018
20171117 10205 10210 10195 10210 477877 4877000000 13900000 141919000000 0 10
20171120 10205 10205 10200 10200 455012 4642000000 13900000 141780000000 0 2949
20171121 10205 10205 10200 10205 409828 4182000000 13900000 141849000000 0 -9785
20171122 10205 10215 10205 10215 382701 3907000000 13900000 141988000000 0 964
20171123 10210 10210 10205 10210 226240 2310000000 13900000 141919000000 0 -148
20171124 10210 10210 10210 10210 192883 1969000000 13900000 141919000000 0 2852
20171127 10215 10215 10190 10200 121950 1244000000 13900000 141780000000 0 -2342
20171128 10200 10210 10200 10210 228176 2328000000 13900000 141919000000 0 -50
20171129 10205 10210 10200 10210 1052709 10742000000 13900000 141919000000 0 -111
20171130 10190 10195 10175 10175 203779 2077000000 13900000 141432000000 0 -1149
20171201 10185 10185 10165 10175 272328 2772000000 13900000 141432000000 0 -697
20171204 10190 10210 10175 10210 218771 2230000000 13900000 141919000000 0 1707
20171205 10195 10205 10195 10205 454436 4637000000 13900000 141849000000 0 -100
20171206 10200 10205 10190 10190 459092 4679000000 13900000 141641000000 0 -3506
